brand,device_type,age_years,condition,original_price,usage_hours_per_day,resale_price
Samsung,smartphone,1,excellent,45000,4.5,32000
Apple,laptop,2,good,120000,6.0,78000
Dell,laptop,3,fair,55000,8.0,28000
Apple,tablet,1,excellent,65000,3.0,52000
Xiaomi,smartphone,2,good,22000,5.5,14000
HP,laptop,4,poor,48000,9.0,15000
Lenovo,laptop,2,excellent,72000,5.0,48000
Samsung,tablet,3,fair,35000,4.0,18000
OnePlus,smartphone,1,excellent,42000,4.0,31000
Asus,laptop,2,good,88000,7.0,52000
Apple,smartphone,3,good,95000,5.0,48000
Realme,smartphone,1,good,18000,5.0,13000
Microsoft,surface,2,excellent,98000,4.5,62000
Dell,monitor,3,fair,18000,10.0,7000
LG,monitor,2,good,25000,6.0,14000
Sony,headphones,1,excellent,22000,2.0,16000
Bose,speaker,2,good,35000,3.0,22000
JBL,headphones,3,fair,8000,4.0,3500
Canon,camera,4,good,55000,2.0,24000
Nikon,camera,2,excellent,72000,1.5,52000
Samsung,smartwatch,2,good,28000,12.0,15000
Apple,smartwatch,1,excellent,42000,14.0,32000
Fitbit,wearable,3,fair,12000,8.0,4000
Google,smartphone,2,good,68000,4.5,38000
Motorola,smartphone,4,poor,15000,6.0,4500
Acer,laptop,5,poor,32000,9.0,8000
MSI,laptop,1,excellent,95000,7.0,72000
Huawei,tablet,3,good,40000,4.0,20000
Samsung,laptop,2,good,62000,6.0,38000
Apple,laptop,1,excellent,145000,5.5,115000
Dell,desktop,4,fair,42000,8.0,18000
HP,desktop,3,good,38000,7.0,20000
Asus,monitor,1,excellent,32000,8.0,26000
LG,smartphone,2,good,28000,5.0,16000
Xiaomi,tablet,2,excellent,30000,3.5,21000
Sony,console,3,good,45000,5.0,28000
Microsoft,console,2,excellent,50000,6.0,35000
Nintendo,console,4,fair,28000,4.0,15000
Bose,headphones,1,excellent,28000,2.5,22000
JBL,speaker,2,good,15000,3.0,9000
Canon,printer,5,poor,12000,1.0,3000
Epson,printer,3,fair,18000,1.5,7000
Samsung,smartphone,2,excellent,52000,4.0,36000
Apple,smartphone,4,good,75000,5.0,35000
OnePlus,smartphone,3,fair,38000,5.5,18000
Realme,smartphone,2,good,20000,6.0,11000
Dell,laptop,1,excellent,68000,5.0,52000
Lenovo,tablet,2,good,28000,4.0,17000
HP,laptop,3,fair,52000,7.0,24000
Asus,laptop,3,excellent,82000,6.0,48000
Apple,tablet,2,good,55000,3.0,38000
Samsung,laptop,3,good,58000,6.5,32000
Xiaomi,smartphone,1,excellent,25000,4.5,19000
Google,smartphone,3,fair,55000,5.0,28000
Sony,headphones,2,fair,15000,3.0,7000
LG,monitor,4,good,20000,7.0,9000
MSI,laptop,2,good,88000,8.0,52000
Acer,laptop,3,fair,45000,7.5,20000
Huawei,smartphone,2,excellent,42000,4.0,28000
Motorola,smartphone,2,good,18000,5.0,10000
Canon,camera,3,good,48000,2.0,26000
Nikon,camera,4,fair,62000,1.5,28000
Fitbit,wearable,2,good,15000,10.0,8000
Apple,smartwatch,3,fair,35000,12.0,16000
JBL,headphones,1,excellent,12000,2.0,9000
Bose,speaker,3,fair,40000,2.5,22000
Microsoft,surface,3,good,85000,5.0,48000
Dell,monitor,2,excellent,22000,9.0,17000
HP,desktop,2,excellent,55000,6.0,38000
Asus,monitor,3,good,28000,7.0,16000
Samsung,tablet,1,excellent,42000,3.0,32000
Realme,smartphone,3,fair,16000,6.0,7000
OnePlus,smartphone,2,excellent,40000,4.5,28000
Apple,laptop,3,good,110000,6.0,65000
Lenovo,laptop,4,fair,60000,8.0,28000
Dell,laptop,2,excellent,75000,5.5,52000
Xiaomi,tablet,3,fair,22000,4.0,11000
Sony,console,2,excellent,48000,5.5,32000
Nintendo,console,3,good,32000,4.5,20000
LG,smartphone,3,fair,24000,5.5,12000
Samsung,smartwatch,3,good,32000,11.0,17000
Google,smartphone,1,excellent,72000,4.0,55000
Canon,printer,4,fair,15000,1.2,5000
Epson,printer,2,good,22000,1.0,12000
Bose,headphones,3,fair,24000,2.0,12000
JBL,speaker,1,excellent,18000,3.5,14000
Apple,smartphone,2,excellent,88000,4.5,62000
Samsung,smartphone,3,good,48000,5.0,28000
HP,laptop,1,excellent,62000,5.0,48000
Asus,laptop,1,excellent,92000,6.0,72000
Dell,desktop,3,good,45000,7.5,24000
Microsoft,console,1,excellent,52000,5.0,40000
Huawei,tablet,2,excellent,38000,3.5,26000
Motorola,smartphone,1,good,20000,5.0,15000
Nikon,camera,3,good,58000,2.0,34000
Sony,camera,2,excellent,68000,1.8,48000
Fitbit,wearable,1,excellent,18000,9.0,13000
Realme,smartphone,2,good,19000,5.5,12000
Xiaomi,smartphone,4,fair,21000,6.0,8000
Apple,tablet,3,fair,45000,3.5,24000
Lenovo,tablet,3,good,32000,4.0,19000
Acer,laptop,2,good,50000,7.0,30000
MSI,laptop,3,fair,78000,8.5,42000
LG,monitor,1,excellent,30000,6.0,24000
Samsung,monitor,2,good,24000,8.0,17000
JBL,headphones,2,good,10000,3.5,6000
Bose,speaker,1,excellent,45000,3.0,35000
Canon,camera,2,excellent,62000,2.2,45000
Epson,printer,3,good,20000,1.3,9000
Dell,laptop,4,fair,56000,7.0,22000
Apple,laptop,4,good,105000,6.5,52000
HP,laptop,2,excellent,70000,5.5,50000
Samsung,smartphone,1,good,38000,4.8,26000
OnePlus,smartphone,4,fair,32000,5.0,14000
Google,smartphone,2,excellent,65000,4.2,45000
Sony,headphones,4,poor,11000,4.0,3500
Asus,monitor,2,excellent,35000,7.5,26000
Xiaomi,tablet,1,good,26000,3.2,19000
Nintendo,console,2,good,30000,4.0,21000
Microsoft,surface,1,excellent,105000,4.0,82000
Lenovo,laptop,1,excellent,68000,5.2,52000
Realme,smartphone,1,excellent,21000,4.8,17000
Huawei,smartphone,3,good,35000,5.2,20000
Motorola,smartphone,3,fair,14000,6.0,6000
Samsung,tablet,2,good,36000,3.8,22000
Apple,smartwatch,2,excellent,38000,13.0,28000
Fitbit,wearable,4,fair,10000,7.0,3500
Dell,monitor,4,good,16000,9.5,7000
HP,desktop,4,fair,35000,8.0,15000
LG,smartphone,1,excellent,32000,4.2,24000
Acer,laptop,4,poor,28000,9.0,9000
MSI,laptop,2,excellent,102000,7.5,78000
JBL,speaker,3,good,12000,2.8,7500
Bose,headphones,2,excellent,26000,2.2,20000
Canon,printer,2,good,16000,1.1,9000
Nikon,camera,1,excellent,78000,1.6,62000
Samsung,laptop,1,excellent,72000,5.8,56000
Apple,smartphone,1,excellent,92000,4.2,72000
Dell,laptop,3,good,64000,6.2,38000
Xiaomi,smartphone,3,good,23000,5.8,13000
Asus,laptop,4,fair,70000,7.8,32000
Sony,console,4,fair,38000,4.8,18000
Google,smartphone,4,fair,48000,5.5,22000
Lenovo,tablet,1,excellent,30000,3.6,23000
HP,laptop,4,poor,44000,8.5,16000
Realme,smartphone,4,poor,14000,6.5,4500
